Informacje podstawowe:
 Nazwa katalogu: ULIC, 
 Zawartość: część, 
 Czas utworzenia: 29.03.2026 7:19:34. 

WOJ;POW;GMI;RODZ_GMI;SYM;SYM_UL;CECHA;NAZWA_1;NAZWA_2;STAN_NA
06;63;01;1;0954700;11926;ul.;Maja;1;2026-03-27
06;63;01;1;0954700;54370;rondo;100-lecia KUL;;2026-03-27
06;63;01;1;0954700;55665;skwer;100-lecia praw wyborczych Polek;;2026-03-27
06;63;01;1;0954700;11205;ul.;Listopada;11;2026-03-27
06;63;01;1;0954700;11937;ul.;Maja;3;2026-03-27
06;63;01;1;0954700;27495;ul.;Abelarda;;2026-03-27
06;63;01;1;0954700;21146;ul.;Sterna;Abrahama;2026-03-27
06;63;01;1;0954700;00094;ul.;Abramowicka;;2026-03-27
06;63;01;1;0954700;00470;ul.;Asnyka;Adama;2026-03-27
06;63;01;1;0954700;41149;ul.;Kerstena;Adama;2026-03-27
06;63;01;1;0954700;12740;ul.;Mickiewicza;Adama;2026-03-27
06;63;01;1;0954700;04493;ul.;Dygasińskiego;Adolfa;2026-03-27
06;63;01;1;0954700;00138;ul.;Agatowa;;2026-03-27
06;63;01;1;0954700;00148;ul.;Agrestowa;;2026-03-27
06;63;01;1;0954700;00149;ul.;Agronomiczna;;2026-03-27
06;63;01;1;0954700;00157;ul.;Akacjowa;;2026-03-27
06;63;01;1;0954700;00160;ul.;Akademicka;;2026-03-27
06;63;01;1;0954700;00168;ul.;Aksini;;2026-03-27
06;63;01;1;0954700;58881;ul.;Al. generała Władysława Sikorskiego;;2026-03-27
06;63;01;1;0954700;58882;ul.;Al. Wincentego Witosa;;2026-03-27
06;63;01;1;0954700;58880;ul.;al. Władysława Andersa;;2026-03-27
06;63;01;1;0954700;52093;ul.;Aleja Jana Długosza;;2026-03-27
06;63;01;1;0954700;52099;ul.;aleja Józefa Piłsudskiego;;2026-03-27
06;63;01;1;0954700;52089;ul.;Aleja Kompozytorów Polskich;;2026-03-27
06;63;01;1;0954700;52087;ul.;Aleja Kraśnicka;;2026-03-27
06;63;01;1;0954700;28460;ul.;Aleja Marzeń;;2026-03-27
06;63;01;1;0954700;52097;ul.;aleja Mieczysława Smorawińskiego;;2026-03-27
06;63;01;1;0954700;00197;ul.;Aleja Młodości;;2026-03-27
06;63;01;1;0954700;00203;ul.;Aleja Róż;;2026-03-27
06;63;01;1;0954700;34760;ul.;Aleja Solidarności;;2026-03-27
06;63;01;1;0954700;52088;ul.;Aleja Spółdzielczości Pracy;;2026-03-27
06;63;01;1;0954700;52585;al.;aleja Stanisława Jasińskiego;;2026-03-27
06;63;01;1;0954700;54204;ul.;aleja Tadeusza Mazowieckiego;;2026-03-27
06;63;01;1;0954700;52098;ul.;aleja Unii Lubelskiej;;2026-03-27
06;63;01;1;0954700;49971;ul.;Aleja Warszawska;;2026-03-27
06;63;01;1;0954700;52092;ul.;aleje Racławickie;;2026-03-27
06;63;01;1;0954700;52090;ul.;Aleje Tysiąclecia;;2026-03-27
06;63;01;1;0954700;52091;ul.;Aleje Zygmuntowskie;;2026-03-27
06;63;01;1;0954700;29864;ul.;Czekanowskiego;Aleksandra;2026-03-27
